county,pop2010all,pop2014all,pop2017all,median_age_2010,median_age_2014,median_age_2017,fips,met_healthy_people_obj,age_adjust_death_rate,death_lower_95_CI,death_upper_95_CI,avg_ann_count,recent_trend,recent_5yr_trend,5yr_lower_95_CI,5yr_upper_95_CI,hospice_count,pop2010_50_and_over,pop2014_50_and_over,pop2017_50_and_over,percent_pop2010_50_and_over,percent_pop2014_50_and_over,percent_pop2017_50_and_over,normalized_hospice_rate
Marshall,30681,31250,32931,39,40.1,39.9,47117,No,204.8,184,227.3,75,stable,-0.4,-1,0.3,0,10389,11345,12054,33.86134741,36.304,36.60380796,0
Maury,81174,85345,92163,38.4,38.9,38.7,47119,No,181.1,169.1,193.7,178,falling,-1,-1.6,-0.5,0,27835,30727,33117,34.29053638,36.0032808,35.9330751,0
McMinn,52168,52538,52877,41.7,42.7,43.3,47107,No,187.4,173.3,202.5,135,stable,-0.4,-1,0.2,1,19941,20983,21661,38.22458212,39.93871103,40.96488076,1.891181421
McNairy,26061,26025,26004,41.7,42.6,43.1,47109,No,205.4,184.9,227.9,76,stable,-0.2,-0.8,0.5,0,10024,10454,10693,38.46360462,40.1690682,41.12059683,0
Meigs,11794,11699,12068,43,44.6,44.7,47121,No,214.3,181.7,251.5,34,stable,0.5,-0.8,1.9,0,4649,4933,5162,39.41834831,42.16599709,42.77427909,0
Monroe,44617,45388,46240,41.7,43.3,43.7,47123,No,191.6,176,208.4,118,stable,-0.6,-1.2,0.1,0,17097,18495,19353,38.31947464,40.74865603,41.8533737,0
Montgomery,173168,188979,200182,30,30.3,30.8,47125,No,188.4,177.7,199.5,247,falling,-1,-1.5,-0.5,1,38782,43670,47852,22.39559272,23.1083877,23.90424714,0.499545414
Moore,6333,6298,6384,43.4,44.8,45.4,47127,Yes,123.2,93.9,160.5,12,falling,-2.1,-3.8,-0.4,0,2557,2706,2790,40.37580925,42.96602096,43.70300752,0
Morgan,22018,21688,21636,39.9,41.3,42.2,47129,No,180.7,158,206,48,stable,-0.8,-1.7,0,0,7569,8006,8380,34.37641929,36.91442272,38.73174339,0
Obion,31821,30815,30385,41.4,42.5,42.8,47131,No,214.1,194.6,235.2,92,stable,0,-0.5,0.6,1,12159,12352,12351,38.21061563,40.08437449,40.64834622,3.291097581
Overton,22094,21948,22012,41.6,42.7,43.4,47133,No,217,193.8,242.4,67,stable,-0.3,-1.1,0.5,0,8476,8809,9091,38.36335657,40.13577547,41.30019989,0
Perry,7938,7819,7975,43,43.4,43.4,47135,No,216,178.5,259.9,25,stable,0,-1.4,1.5,1,3267,3280,3355,41.15646259,41.94909835,42.06896552,12.53918495
Pickett,5073,5068,5073,47.4,48.8,50.4,47137,Yes,158.7,123.3,203.9,15,stable,-0.5,-1.8,0.9,0,2345,2451,2567,46.22511335,48.36227309,50.60122216,0
Polk,16817,16685,16757,42.6,44.3,45.4,47139,No,209.5,183.6,238.4,50,stable,-0.8,-1.9,0.3,0,6547,6908,7254,38.93084379,41.4024573,43.28937161,0
Putnam,72569,74913,77674,36,36,36.1,47141,No,201.5,188.2,215.5,176,stable,-0.2,-0.7,0.3,1,23731,25379,26457,32.70129118,33.87796511,34.06159075,1.287432088
Rhea,31857,32525,32691,39.9,40.8,41,47143,No,194.9,176,215.4,82,falling,-0.7,-1.3,-0.2,0,11586,12286,12676,36.36877295,37.77401998,38.77519807,0
