county,pop2010all,pop2014all,pop2017all,pop2010_50to54,pop2014_50to54,pop2017_50to54,pop2010_55to59,pop2014_55to59,pop2017_55to59,pop2010_60to64,pop2014_60to64,pop2017_60to64,pop2010_65to69,pop2014_65to69,pop2017_65to69,pop2010_70to74,pop2014_70to74,pop2017_70to74,pop2010_75to79,pop2014_75to79,pop2017_75to79,pop2010_80to84,pop2014_80to84,pop2017_80to84,pop2010_85over,pop2014_85over,pop2017_85over,median_age_2010,median_age_2014,median_age_2017,fips,met_healthy_people_obj,age_adjust_death_rate,death_lower_95_CI,death_upper_95_CI,avg_ann_count,recent_trend,recent_5yr_trend,5yr_lower_95_CI,5yr_upper_95_CI,hospice_count
Monroe,44617,45388,46240,3212,3219,3239,3136,3277,3274,3368,3204,3286,2777,3191,3248,1864,2443,2695,1241,1496,1752,780,865,993,719,800,866,41.7,43.3,43.7,47123,No,191.6,176,208.4,118,stable,-0.6,-1.2,0.1,0
Montgomery,173168,188979,200182,10190,10751,10825,8091,9581,10335,6644,7240,8562,4633,5892,6491,3578,3912,4717,2697,2962,3145,1620,1907,2090,1329,1425,1687,30,30.3,30.8,47125,No,188.4,177.7,199.5,247,falling,-1,-1.5,-0.5,1
Moore,6333,6298,6384,508,462,430,447,522,495,435,430,513,403,418,377,287,338,379,183,224,262,157,145,165,137,167,169,43.4,44.8,45.4,47127,Yes,123.2,93.9,160.5,12,falling,-2.1,-3.8,-0.4,0
Morgan,22018,21688,21636,1620,1610,1665,1513,1530,1493,1398,1418,1457,1069,1265,1314,765,866,984,576,621,705,348,383,419,280,313,343,39.9,41.3,42.2,47129,No,180.7,158,206,48,stable,-0.8,-1.7,0,0
Obion,31821,30815,30385,2387,2171,1925,2257,2290,2202,2145,2088,2127,1725,1933,1901,1328,1485,1653,988,1043,1138,670,703,728,659,639,677,41.4,42.5,42.8,47131,No,214.1,194.6,235.2,92,stable,0,-0.5,0.6,1
Overton,22094,21948,22012,1596,1518,1536,1558,1574,1557,1588,1498,1546,1259,1469,1479,995,1105,1208,682,803,831,457,458,538,341,384,396,41.6,42.7,43.4,47133,No,217,193.8,242.4,67,stable,-0.3,-1.1,0.5,0
Perry,7938,7819,7975,601,511,506,590,606,569,592,547,592,513,540,529,350,424,462,290,273,313,198,217,186,133,162,198,43,43.4,43.4,47135,No,216,178.5,259.9,25,stable,0,-1.4,1.5,1
Pickett,5073,5068,5073,364,387,394,385,364,394,455,419,394,379,417,442,305,339,376,231,258,249,124,153,197,102,114,121,47.4,48.8,50.4,47137,Yes,158.7,123.3,203.9,15,stable,-0.5,-1.8,0.9,0
Polk,16817,16685,16757,1254,1274,1333,1178,1251,1212,1224,1154,1236,1053,1112,1113,712,872,960,526,585,644,339,352,428,261,308,328,42.6,44.3,45.4,47139,No,209.5,183.6,238.4,50,stable,-0.8,-1.9,0.3,0
Putnam,72569,74913,77674,4636,4681,4568,4329,4554,4689,4149,4200,4472,3418,3950,4019,2533,3043,3437,2010,2085,2318,1444,1496,1474,1212,1370,1480,36,36,36.1,47141,No,201.5,188.2,215.5,176,stable,-0.2,-0.7,0.3,1
Rhea,31857,32525,32691,2281,2216,2235,2113,2250,2256,2157,2149,2153,1755,1954,2052,1247,1511,1609,882,990,1096,605,643,677,546,573,598,39.9,40.8,41,47143,No,194.9,176,215.4,82,falling,-0.7,-1.3,-0.2,0
Roane,54157,52827,53036,4336,4088,3880,4367,4400,4274,4153,4072,4399,3250,3821,3760,2450,2806,3163,1831,1938,2220,1386,1375,1351,1205,1357,1422,45,46.5,47.2,47145,No,185.2,172,199.3,152,falling,-0.7,-1.1,-0.3,0
Robertson,66355,67869,70177,5057,5349,5125,4338,4770,5244,3681,4021,4480,2676,3253,3559,1948,2295,2676,1466,1625,1821,920,1052,1120,831,891,925,37.7,38.4,38.9,47147,No,187.2,173,202.3,135,falling,-0.8,-1.3,-0.2,2
Rutherford,263747,288608,317157,16912,19172,19955,13802,16414,18303,11175,13081,15410,7698,10203,11990,5395,6832,8422,3802,4621,5347,2619,2967,3329,2278,2756,3079,32.3,33.3,33.7,47149,No,170.3,162.5,178.4,380,falling,-1.4,-1.7,-1.1,1
Scott,22227,21986,21989,1521,1530,1558,1446,1464,1426,1301,1332,1393,1084,1175,1187,757,933,1002,525,593,698,369,366,373,327,335,356,38.2,38.9,39.6,47151,No,241,214.5,270,63,stable,-0.5,-1.1,0.1,0
Sequatchie,14127,14634,14736,1037,1064,1030,991,1112,1113,957,1000,1082,850,952,1000,573,731,822,346,472,542,239,270,288,221,254,281,40.8,42.8,44,47153,No,224.3,194.3,257.9,43,rising,1.3,0.3,2.3,0
Sevier,89948,94570,97638,6759,7121,7151,6401,6893,7145,6073,6519,7003,4979,5835,6517,3629,4621,5159,2434,2882,3433,1636,1793,1946,1312,1539,1644,41,42.4,43.3,47155,No,186.7,175.6,198.3,224,falling,-0.5,-0.9,-0.1,0
Shelby,928552,938434,936961,66350,64536,59532,59228,62411,60997,47519,52925,56177,30884,39891,45022,21953,25931,30529,17114,17902,19812,13270,12986,13297,12481,13579,14257,34.6,35.1,35.6,47157,No,195,190.8,199.2,1767,falling,-1.1,-1.2,-1,5
Smith,19125,19026,19636,1506,1578,1540,1302,1392,1505,1207,1223,1300,901,1099,1160,643,778,895,443,464,584,325,315,331,299,288,286,39.9,41,41,47159,No,192.2,166.8,220.6,43,stable,-6.7,-13.8,1,0
Stewart,13349,13218,13355,1024,1038,1085,989,1013,981,919,905,1032,786,864,882,555,656,729,421,421,494,254,284,289,221,259,262,42.9,43.9,44.7,47161,No,218.2,188.3,252,40,stable,0.1,-1.2,1.4,0
Sullivan,156755,156513,157158,12017,11716,11400,11519,11767,11474,10763,10966,11287,9213,9967,10260,7065,8221,8903,5288,5762,6397,4171,4004,4256,3582,3835,3966,43.7,44.5,45.2,47163,No,181.4,173.6,189.5,425,falling,-0.7,-1.1,-0.4,1
Sumner,161199,172183,183545,11949,13104,13091,10627,11672,12739,9391,10101,11328,7199,8793,9633,4989,6458,7634,3510,4223,5019,2518,2806,3061,2208,2616,2943,38.7,39.3,39.5,47165,Yes,161.2,153,169.6,305,falling,-2.2,-3.6,-0.8,1
Tipton,61066,61566,61366,4498,4741,4383,3796,4197,4395,3203,3490,3753,2398,2829,3043,1727,2044,2326,1264,1400,1514,779,954,980,627,739,806,36.6,37.5,38.1,47167,No,210.6,194.5,227.6,134,stable,-0.2,-0.8,0.3,0
Trousdale,7874,7993,10083,605,599,639,562,597,616,506,532,551,360,435,471,270,326,388,194,222,254,128,135,146,127,132,129,39.7,40.7,35.6,47169,No,265.5,219,319.1,24,stable,0,-1.3,1.3,0
Unicoi,18284,17905,17759,1468,1349,1264,1409,1440,1413,1338,1313,1332,1089,1239,1277,902,961,998,693,719,773,490,520,544,447,483,478,45.1,46.2,46.7,47171,No,199.8,176.9,225.3,58,stable,0.1,-0.6,0.7,0
Union,19118,18990,19442,1534,1500,1439,1321,1446,1588,1243,1283,1365,990,1155,1221,719,885,951,448,526,650,291,313,348,223,265,321,40.3,41.7,42.7,47173,No,234.2,206.1,265.3,53,stable,-0.5,-1.2,0.2,0
Van Buren,5569,5653,5742,465,414,376,472,477,457,459,468,489,356,459,511,257,316,342,159,197,235,122,112,128,68,119,115,44.6,46.3,47.2,47175,Yes,160.3,122.7,207.4,14,stable,-0.9,-2.4,0.6,0
Warren,39860,39934,40651,2900,2888,2685,2603,2772,2839,2445,2448,2617,1932,2213,2243,1512,1717,1883,1104,1189,1343,812,815,864,690,716,740,39.4,40.3,40.3,47177,No,200.3,183,219,100,stable,-0.1,-0.8,0.5,0
Washington,123386,125736,127806,8798,8772,8328,8183,8524,8793,7698,7775,8274,6080,7122,7425,4521,5311,6017,3417,3703,4227,2503,2527,2699,2369,2466,2564,39.3,39.9,40.4,47179,No,180.5,171.1,190.3,284,falling,-1.2,-1.6,-0.8,2
Wayne,16987,16788,16583,1250,1238,1207,1104,1146,1202,1097,1087,1084,846,1021,1012,696,725,831,494,556,530,356,368,407,308,360,381,41,42.3,43.1,47181,No,207.4,181.4,236.4,47,stable,0.1,-0.6,0.9,1
Weakley,35042,33987,33337,2282,2210,2123,2205,2173,2120,2066,2043,2072,1594,1856,1915,1280,1384,1559,1012,1029,1064,743,791,749,742,757,808,36.9,37.5,38.3,47183,No,187,168.9,206.6,81,stable,-0.3,-0.8,0.3,0
White,25821,26229,26753,1848,1869,1902,1849,1844,1835,1757,1812,1857,1436,1654,1782,1141,1267,1365,858,872,952,588,630,646,532,566,623,42.1,42.6,42.8,47185,No,216.3,195.1,239.4,79,stable,-0.6,-1.3,0,0
Williamson,184130,205213,226257,15260,16295,16866,12386,14701,15563,10014,11525,13199,6471,9095,10610,4172,5698,7598,3044,3747,4632,2261,2638,3057,2125,2708,3161,38.6,38.9,39,47187,Yes,127.2,119.8,134.9,239,falling,-3.8,-4.8,-2.9,2
Wilson,114677,125146,136442,8985,9840,9663,7687,8802,9711,6907,7687,8465,5158,6783,7480,3582,4722,5826,2389,3079,3682,1566,1832,2178,1368,1620,1798,39.3,40.1,39.9,47189,No,170.5,160.4,181,229,falling,-2,-2.8,-1.2,0
